HostMNLUID	familyHostMNL	genusHostMNL	speciesHostMNL	subspeciesHostMNL	authorHostMNL	oldHOstAuthor	oldHOstFamily
10420	Fabaceae	Wiborgia	sp.	no subspecies	none		Fabaceae
10228	Asteraceae	Tetradymia	sp.	no subspecies	none		Asteraceae
10460	Poaceae	Avena	sp.	no subspecies	none		Poaceae
10400	Asteraceae	Ursinia	sp.	no subspecies	none		Asteraceae
10295	Asteraceae	Baccharis	sp.	no subspecies	none		Asteraceae
10373	Casuarinaceae	Casuarina	sp.	no subspecies	none		Casuarinaceae
10473	Rutaceae	Agathosma	sp.	no subspecies	none		Rutaceae
9920	Rhamnaceae	Ceanothus	sp.	no subspecies	none		Rhamnaceae
10614	Malvaceae	Hibiscus	sp.	no subspecies	none		Malvaceae
10259	Rosaceae	Pyrus	sp.	no subspecies	none		Rosaceae
10318	Aizoaceae	Delosperma	sp.	no subspecies	none		Mesembryanthemaceae
10234	Amaranthaceae	Salsola	sp.	no subspecies	none		Amaranthaceae
10336	Verbenaceae	Lantana	sp.	no subspecies	none		Verbenaceae
14090	Plantaginaceae	Digitalis	sp.	no subspecies	none		Plantaginaceae
10324	Asteraceae	Cassinia	sp.	no subspecies	none		Compositae
10346	Myrtaceae	Leptospermum	sp.	no subspecies	none		Myrtaceae
10549	Flacourtiaceae	Homalium	sp.	no subspecies	none		Flacourtiaceae
10470	Typhaceae	Typha	sp.	no subspecies	none		Typhaceae
10316	Fabaceae	Cytisus	sp.	no subspecies	none		Fabaceae
10215	Fabaceae	Acacia	sp.	no subspecies	none		Fabaceae
10658	Rosaceae	Holodiscus	sp.	no subspecies	none		Rosaceae
10562	Passifloraceae	Passiflora	sp.	no subspecies	none		Passifloraceae
10480	Fabaceae	Melolobium	sp.	no subspecies	none		Fabaceae
10496	Malvaceae	Sida	sp.	no subspecies	none		Malvaceae
10506	Casuarinaceae	Gymnostoma	sp.	no subspecies	none		Casuarinaceae
10471	Fabaceae	Cassia	sp.	no subspecies	none		Fabaceae
10202	Pinaceae	Abies	sp.	no subspecies	none		Pinaceae
10896	Solanaceae	Lycium	sp.	no subspecies	none		Solanaceae
10431	Fabaceae	Stylosanthes	sp.	no subspecies	none		Fabaceae
10199	Fagaceae	Quercus	sp.	no subspecies	none		Fagaceae
10499	Santalaceae	Santalum	sp.	no subspecies	none		Santalaceae
10897	Melastomataceae	Melastoma	sp.	no subspecies	none		Melastomataceae
10237	Cupressaceae	Juniperus	sp.	no subspecies	none		Cupressaceae
12318	Lamiaceae	Stachys	sp.	no subspecies	none		Lamiaceae
11470	Cyperaceae	Cladium	sp.	no subspecies	none		Cyperaceae
