FieldHostUID	ColEventUID	HostNumber	FieldIdent	FieldNotes	CreateDate	UpdateDate	CreatedBy	UpdatedBy	TripUID	HostF	HostG	HostSp	HostSSp	HostAuthor	HostDetBy	HerbID	history
1409	11063	H058	NULL	NULL	2006-01-09	2012-04-05	Hewson-Smith, Sheridan	Salas, Ruth	0	379	1598	2213	0	1007	K. Roux	voucher-NYBG	Rutaceae;Diosma;hirsuta;L.;K. Roux;voucher-NYBG
1410	11063	H061	NULL	NULL	2006-01-09	2007-04-03	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1572	2011	0	1007	D. Snijman	voucher-NYBG	Asteraceae;Chrysocoma;ciliata;L.;D. Snijman;voucher-NYBG
1411	11063	H060	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1741	2175	0	3043	J Manning	voucher-NYBG	Asteraceae;Oedera;genistifolia;(L.) Anderb. & Bremer;J Manning;voucher-NYBG
1412	11063	H068	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	1488	1775	2625	0	3300	K Roux	voucher-NYBG	Polygalacea;teretifolia;DC.;K Roux;voucher-NYBG
1413	11063	H066	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	264	1528	1870	0	3045	C Cupido	voucher-NYBG	Lamiaceae;Ballota;africana;(L.) Benth.;C Cupido;voucher-NYBG
1414	11063	H065	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	1842	916	0	0	NBG staff	voucher-NYBG	Fabaceae;Wiborgia;sp.;NBG staff;voucher-NYBG
1415	11063	H064	NULL	NULL	2006-01-09	2007-04-03	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1629	744	2716	3234	D. Snijman	voucher-NYBG	Asteraceae;Felicia;filifolia;filifolia;(Vent.) Burtt Davy;D. Snijman;voucher-NYBG
1416	11063	H063	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	2647	0	3118	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;truncata;(Meisn.) Bredenkamp & A.E. van Wyk;K Roux;voucher-NYBG
1417	11063	H062	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	376	1574	2521	0	1007	C Cupido	voucher-NYBG	Rosaceae;Cliffortia;ruscifolia;L.;C Cupido;voucher-NYBG
1418	11063	H067	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	649	2752	3143	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;angustifolia;robusta;(Phill.) Dahlgren;C Cupido;voucher-NYBG
1419	11063	H057	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1613	2500	0	3077	J Manning	voucher-NYBG	Asteraceae;Elytropappus;rhinocerotis;(L.f.) Less.;J Manning;voucher-NYBG
1420	11064	H027	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1595	920	0	3072	J Manning	voucher-NYBG	Asteraceae;Didelta;spinosa;(L.f.) Ait.;J Manning;voucher-NYBG
1421	11065	H091	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	221	1754	2488	0	3359	K Roux	voucher-NYBG	Geraniaceae;Pelargonium;radens;H.E. Moore;K Roux;voucher-NYBG
1422	11065	H096	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	916	0	0	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;sp.;C Cupido;voucher-NYBG
1423	11065	H095	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1623	1872	0	1302	J Manning	voucher-NYBG	Asteraceae;Eriocephalus;africanus;(L.);J Manning;voucher-NYBG
1424	11065	H094	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	2647	0	3119	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;truncata;K Roux;voucher-NYBG
1425	11065	H093	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1523	2643	0	3061	J Manning	voucher-NYBG	Asteraceae;Athanasia;trifurcata;(L.) L.;J Manning;voucher-NYBG
1426	11065	H092	NULL	NULL	2006-01-09	2007-03-16	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	916	0	0	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;sp.;C Cupido;voucher-NYBG
